#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891009351074750, 0, -0.1777396, -0.0553131, -0.1985959, 0.0031435, 8.8524413, -4.6830116
1891009361037750, 0, -0.2537667, 0.0012440, -0.2575192, 0.3915857, 9.0308702, -4.7666876
1891009370999750, 0, -0.3302458, 0.1078695, -0.3052116, 0.4358936, 8.9738388, -4.4855722
1891009380961750, 0, -0.3704220, 0.1834431, -0.3419531, 0.2260300, 8.9551277, -4.0377036
1891009390923750, 0, -0.3726319, 0.1707387, -0.3590783, -0.1142125, 8.8082831, -3.7995488
1891009400885750, 0, -0.3488336, 0.1576695, -0.3389812, -0.4381389, 8.5270180, -3.5280135
1891009410848750, 0, -0.3105027, 0.1401129, -0.2913724, -0.6815327, 8.2529379, -3.2811768
1891009420810750, 0, -0.2337480, 0.0954429, -0.2686621, -0.5195695, 8.2436572, -3.1148726
1891009430772750, 0, -0.1390719, -0.0068398, -0.2937587, -0.0984952, 8.3692461, -3.2542328
1891009440734750, 0, -0.0739973, -0.0447129, -0.3115914, 0.1490900, 8.4623524, -3.4540672
1891009450696750, 0, -0.0836677, -0.0178307, -0.2955731, 0.1202000, 8.3472418, -3.7305423
1891009460659750, 0, -0.1552279, 0.0068957, -0.2738800, 0.0357756, 8.3502356, -4.2248145
1891009470621750, 0, -0.2620897, 0.0140807, -0.2544600, -0.0299377, 8.4464854, -4.5661047
1891009480583750, 0, -0.3549623, -0.0312943, -0.2318119, -0.0941542, 8.5132466, -4.6777725
1891009490545750, 0, -0.4329863, -0.0583717, -0.1972995, -0.1080753, 8.5692302, -4.5975394
1891009500507750, 0, -0.4872091, -0.1071131, -0.1878565, 0.0687071, 8.8079837, -4.5044330
1891009510470750, 0, -0.5327081, -0.1074428, -0.2126832, 0.4607419, 9.1262219, -4.6544211
1891009520432750, 0, -0.5836488, -0.0327284, -0.2396903, 0.8062234, 9.1582553, -4.7985713
1891009530394750, 0, -0.6445388, -0.0332576, -0.2598191, 0.6879694, 9.1103549, -5.0460068
1891009540356750, 0, -0.7108150, -0.1167338, -0.2452644, 0.2689906, 9.2991124, -5.1959949
1891009550318750, 0, -0.7910544, -0.2460609, -0.2016729, 0.0384700, 9.3585388, -4.9398775
1891009560281750, 0, -0.8632762, -0.2960854, -0.1070577, 0.1288820, 9.1872949, -4.5749364
1891009570243750, 0, -0.9322169, -0.2227279, 0.0095413, 0.2745291, 9.2633368, -3.7848793
1891009580205750, 0, -0.9017975, -0.1086868, 0.0659718, 0.7797285, 9.5248430, -2.9859906
1891009590167750, 0, -0.7297400, -0.0503748, 0.0356786, 1.3458513, 10.0553398, -2.1291724
1891009600129750, 0, -0.4631887, -0.0910886, -0.0873014, 1.7546512, 10.8100703, -1.6437318
1891009610092750, 0, -0.2049177, -0.1388569, -0.2218062, 1.7800983, 11.2308453, -1.6613951
